선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK
임정호,NC,4.61,69,2,2,0,22,0.5,41.00 ,32,3,20,7,38,23,21,1.27,0,0,0,0,175,732,3,0,2,1,0,0,0
원종현,NC,4.26,58,3,5,30,0,0.375,57.00 ,56,4,20,2,41,30,27,1.33,0,0,0,6,245,867,5,1,5,2,1,4,0
문경찬,NC,5.02,56,0,5,10,11,0,52.00 ,51,11,15,2,44,35,29,1.27,0,0,0,3,225,875,10,1,0,2,0,0,0
배재환,NC,3.98,53,1,3,0,12,0.25,43.00 ,38,4,35,9,33,22,19,1.7,0,0,0,5,209,817,7,2,3,1,3,5,2
김진성,NC,2.66,48,3,0,0,6,1,47.33 ,41,4,10,0,56,16,14,1.08,0,0,0,1,190,727,8,2,1,2,1,2,0
임창민,NC,5.26,44,7,2,0,11,0.778,37.67 ,39,4,23,2,44,26,22,1.65,0,0,0,1,179,692,10,1,3,2,1,3,0
박진우,NC,5.23,43,2,2,0,7,0.5,43.00 ,47,2,13,6,22,29,25,1.4,0,0,0,1,194,741,7,0,4,4,1,0,0
송명기,NC,3.7,36,9,3,0,0,0.75,87.67 ,78,12,39,2,72,37,36,1.33,0,0,2,2,372,1514,13,0,7,2,1,7,0
김건태,NC,4.89,33,1,1,0,4,0.5,35.00 ,29,4,25,2,37,19,19,1.54,0,0,0,1,155,674,6,0,2,1,0,3,0
강윤구,NC,6.86,30,1,1,0,3,0.5,21.00 ,31,3,11,0,15,16,16,2,0,0,0,0,103,379,7,0,0,0,0,2,0
루친스키,NC,3.05,30,19,5,0,0,0.792,183.00 ,173,14,57,11,167,67,62,1.26,0,0,20,0,770,3001,12,3,10,1,0,11,0
홍성민,NC,1.04,30,1,0,0,8,1,26.00 ,20,2,6,2,14,4,3,1,0,0,0,0,104,401,4,0,1,0,1,2,0
라이트,NC,4.68,29,11,9,0,0,0.55,157.67 ,164,12,63,10,125,87,82,1.44,0,0,13,0,696,2789,27,2,5,1,0,5,2
강동연,NC,6,22,1,2,0,1,0.333,24.00 ,27,3,11,1,17,17,16,1.58,0,0,0,1,106,410,6,0,1,1,1,0,0
박정수,NC,4.64,22,1,1,0,2,0.5,33.00 ,25,4,24,6,29,17,17,1.48,0,0,0,0,144,593,5,1,1,1,0,1,0
김영규,NC,5.45,20,2,2,0,1,0.5,67.67 ,83,12,14,2,55,47,41,1.43,0,0,4,0,296,1177,9,2,1,4,0,5,2
